Date,Adj Close (TSLA),Adj Close (SEDG),Close (TSLA),Close (SEDG) ,High (TSLA),High (SEDG),Low (TSLA),Low (SEDG),Open (TSLA),Open (SEDG),Volume (TSLA),Volume (SEDG)
8/14/2019,43.92399979,84.69000244,43.92399979,84.69000244,46.29999924,87.69999695,43.33800125,84.66999817,46.24200058,87.02999878,47813000,1325700
8/15/2019,43.12799835,82.08000183,43.12799835,82.08000183,44.31200027,84.44000244,42.31000137,78.80999756,44.17200089,84.30000305,40798000,1487900
8/16/2019,43.98799896,83.80000305,43.98799896,83.80000305,44.44800186,84.34999847,43.20399857,81.61000061,43.33200073,82.25,25492500,1060400
8/19/2019,45.36600113,84.12000275,45.36600113,84.12000275,45.56600189,85.59999847,44.34000015,83.15000153,44.84199905,85,26548000,747200
8/20/2019,45.17200089,84.70999908,45.17200089,84.70999908,45.81800079,85.26000214,44.90800095,83.01000214,45.52399826,84.48999786,20626000,669800
8/21/2019,44.16600037,87.84999847,44.16600037,87.84999847,44.64400101,88.95999908,43.52000046,85.48999786,44.40200043,86.33999634,38971500,1349100
8/22/2019,44.43000031,82.04000092,44.43000031,82.04000092,45.08000183,82.80000305,43.64400101,79.31999969,44.56000137,81.84999847,32795000,2275400
8/23/2019,42.27999878,80.90000153,42.27999878,80.90000153,44.23400116,82.62000275,42.20000076,78.79000092,43.99399948,81.65000153,42693000,935900
8/26/2019,43,82.37999725,43,82.37999725,43.00400162,83.86000061,42.30799866,80.04000092,42.72000122,81.87999725,25259500,637900
8/27/2019,42.81600189,81.83999634,42.81600189,81.83999634,43.75999832,84.01999664,42.40599823,81.41000366,43.14799881,82.98000336,27081000,534800
8/28/2019,43.11800003,82.63999939,43.11800003,82.63999939,43.45000076,83.62000275,42.4620018,81.20999908,42.73799896,81.83000183,16127500,382700
8/29/2019,44.34199905,83.36000061,44.34199905,83.36000061,44.68000031,84.80999756,43.59999847,80.55000305,43.79999924,83.69999695,25897500,898200
8/30/2019,45.12200165,81.91999817,45.12200165,81.91999817,46.48799896,84.30000305,44.84199905,80.30999756,45.83000183,83.95999908,46603000,457200
9/3/2019,45.0019989,77.54000092,45.0019989,77.54000092,45.79000092,81.90000153,44.63199997,77.44000244,44.81600189,80.94000244,26770500,971600
9/4/2019,44.13600159,82.88999939,44.13600159,82.88999939,45.69200134,82.94999695,43.84199905,78.51999664,45.37799835,78.98999786,28805000,1176100
9/5/2019,45.91600037,78.59999847,45.91600037,78.59999847,45.95999908,84.26000214,44.16999817,77.79000092,44.5,83.79000092,36976500,1130800
9/6/2019,45.49000168,77.26000214,45.49000168,77.26000214,45.9280014,79.34999847,45.0340004,76.88999939,45.43999863,79.09999847,20947000,839900
